symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
IWM,2021-04-19,2022-04-14,2022-04-18,2022-07-18,3,20,50,SMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
IWM,2021-07-19,2022-07-18,2022-07-19,2022-10-14,3,20,50,SMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
IWM,2021-10-15,2022-10-14,2022-10-17,2023-01-17,18,55,50,SMA,14,1.0,3.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
IWM,2022-01-14,2023-01-17,2023-01-18,2023-04-18,18,55,50,SMA,14,1.0,3.0,5,0.75,100000.0,0.0,0.0,0.0,,0.0,0,,,,
IWM,2022-04-18,2023-04-18,2023-04-19,2023-07-19,16,55,50,SMA,14,1.0,2.0,5,0.75,101068.31192438965,0.010683119243896533,0.04342214123813548,0.028163179523598092,0.831658272763909,-0.006544299055271208,1,0.01619765928459265,1.0,,1083.4244680084228
IWM,2022-07-19,2023-07-19,2023-07-20,2023-10-17,16,55,50,SMA,14,1.0,2.0,5,0.75,101068.31192438965,0.0,0.0,0.0,,0.0,0,,,,
IWM,2022-10-17,2023-10-17,2023-10-18,2024-01-18,17,55,50,SMA,14,1.0,2.0,5,0.9,101068.31192438965,0.0,0.0,0.0,,0.0,0,,,,
IWM,2023-01-18,2024-01-18,2024-01-19,2024-04-18,17,55,50,SMA,14,1.0,2.0,5,0.9,101068.31192438965,0.0,0.0,0.0,,0.0,0,,,,
IWM,2023-04-19,2024-04-18,2024-04-19,2024-07-19,9,20,50,EMA,14,1.0,2.0,5,0.9,101068.31192438965,0.0,0.0,0.0,,0.0,0,,,,
IWM,2023-07-20,2024-07-19,2024-07-22,2024-10-17,2,20,50,SMA,14,1.0,3.0,5,0.75,100783.18997113037,-0.0028210815816591683,-0.011236665061882256,0.0056421631633183375,-5.536292403765043,-0.0028210815816591683,1,-0.003924968182557277,0.0,0.0,-269.8562070373535
IWM,2023-10-18,2024-10-17,2024-10-18,2025-01-21,2,20,50,SMA,14,1.0,3.0,5,0.75,100783.18997113037,0.0,0.0,0.0,,0.0,0,,,,
IWM,2024-01-19,2025-01-21,2025-01-22,2025-04-22,18,55,50,SMA,14,1.0,3.0,5,0.75,100783.18997113037,0.0,0.0,0.0,,0.0,0,,,,
IWM,2024-04-19,2025-04-22,2025-04-23,2025-07-23,18,55,50,SMA,14,1.0,3.0,5,0.75,100783.18997113037,0.0,0.0,0.0,,0.0,0,,,,
IWM,2024-07-22,2025-07-23,2025-07-24,2025-10-21,16,55,50,SMA,14,1.0,2.0,5,0.75,99737.98181999817,-0.010370857991611526,-0.04084255396343328,0.020741715983223056,-2.933342352804648,-0.010370857991611526,1,-0.017808967561773564,0.0,0.0,-1032.4583370758057
IWM,2024-10-18,2025-10-21,2025-10-22,2026-01-22,16,55,50,SMA,14,1.0,2.0,5,0.75,101673.48662739518,0.01940589504698531,0.07991248675049456,0.04317226614079969,1.3877540399454413,-0.010180882072843622,1,0.023053177488771177,1.0,,1954.0624592402814
