symbol,entry_date,exit_date,entry_price,exit_price,shares,direction,breakout_level,atr_at_entry,stop_price,target_price,bars_held,gross_pnl,transaction_costs,net_pnl,return_on_trade,exit_reason,trade_outcome,test_start,test_end,chosen_param_id
MU,2025-06-03 10:00:00,2025-06-05 11:00:00,100.51,108.70771428571427,243,long,99.63,3.4157142857142824,96.41114285714286,108.70771428571427,13.27,1992.0445714285675,12.597980914285714,1979.4465905142818,0.08104537601091559,profit_target,Successful,2025-04-22,2025-07-22,0
MU,2025-06-10 09:30:00,2025-06-16 09:30:00,112.71,118.96,226,long,111.05,3.7542857142857113,108.20485714285714,121.7202857142857,39.0,1412.5,12.731484,1399.7685159999999,0.05495223139029367,timeout,Timed out,2025-04-22,2025-07-22,0
MU,2025-06-18 09:30:00,2025-06-23 09:30:00,121.54,123.1,205,long,120.97,4.19,116.512,131.596,32.5,319.79999999999757,12.080240000000002,307.71975999999756,0.01235043607042939,timeout,Timed out,2025-04-22,2025-07-22,0
MU,2025-06-24 09:30:00,2025-06-30 09:30:00,126.05,123.65,212,long,124.16,4.071428571428574,121.16428571428571,135.82142857142858,39.0,-508.7999999999982,12.70728,-521.5072799999982,-0.01951558905196344,timeout,Timed out,2025-04-22,2025-07-22,0
MU,2025-09-16 09:30:00,2025-09-22 09:30:00,158.68,163.86,151,long,158.28,5.681428571428569,151.86228571428572,172.31542857142858,39.0,782.180000000001,11.740708000000001,770.4392920000009,0.03215431665545389,timeout,Timed out,2025-07-23,2025-10-20,0
MU,2025-10-01 10:00:00,2025-10-06 09:30:00,176.63,193.4282857142857,123,long,170.45,6.999285714285709,168.23085714285713,193.4282857142857,32.36,2066.1891428571407,11.10343382857143,2055.0857090285695,0.09459329612490074,profit_target,Successful,2025-07-23,2025-10-20,0
MU,2025-10-07 09:30:00,2025-10-07 11:00:00,194.03,184.51914285714287,111,long,191.85,7.925714285714278,184.51914285714287,213.05171428571427,0.41,-1055.705142857142,10.403790971428574,-1066.1089338285706,-0.04950051532982828,stop_loss,Stop-loss triggered,2025-07-23,2025-10-20,0
MU,2025-12-24 09:30:00,2025-12-29 09:30:00,286.12,285.61,56,long,279.99,15.369285714285704,267.67685714285716,323.0062857142857,32.5,-28.55999999999949,8.403376000000002,-36.96337599999949,-0.002306935152084009,timeout,Timed out,2025-10-21,2026-01-21,0
MU,2026-01-06 09:30:00,2026-01-12 09:30:00,332.42,344.64,55,long,315.6,15.62285714285714,313.6725714285715,369.91485714285716,39.0,672.0999999999983,9.44766,662.6523399999984,0.03624398160049435,timeout,Timed out,2025-10-21,2026-01-21,0
MU,2026-01-21 09:30:00,2026-01-21 15:00:00,380.57,388.93,50,long,365.81,17.520000000000003,359.546,422.618,1.49,418.0000000000007,9.695,408.3050000000007,0.021457550516330803,end_of_data,Successful,2025-10-21,2026-01-21,0
