symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
QQQ,2021-04-19,2022-04-14,2022-04-18,2022-07-18,11,20,50,EMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2021-07-19,2022-07-18,2022-07-19,2022-10-14,11,20,50,EMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2021-10-15,2022-10-14,2022-10-17,2023-01-17,1,20,50,SMA,14,1.0,2.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2022-01-14,2023-01-17,2023-01-18,2023-04-18,8,20,50,EMA,14,1.0,2.0,5,0.75,99780.37404605713,-0.002196259539428702,-0.00875613917378415,0.028597642807049392,-1.0055422877963804,-0.007945173422806984,2,-0.0021292981838777385,0.5,0.6165456797559946,-98.91876908569336
QQQ,2022-04-18,2023-04-18,2023-04-19,2023-07-19,3,20,50,SMA,14,1.0,3.0,5,0.9,100937.74932675171,0.011599227721479144,0.04721042382696661,0.018916303719467228,1.4384641011533188,-0.0011984871445737122,1,0.01553491758523976,1.0,,1173.482962548828
QQQ,2022-07-19,2023-07-19,2023-07-20,2023-10-17,3,20,50,SMA,14,1.0,3.0,5,0.9,100937.74932675171,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2022-10-17,2023-10-17,2023-10-18,2024-01-18,3,20,50,SMA,14,1.0,3.0,5,0.9,100937.74932675171,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2023-01-18,2024-01-18,2024-01-19,2024-04-18,7,20,50,SMA,14,1.5,3.0,5,0.9,100937.74932675171,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2023-04-19,2024-04-18,2024-04-19,2024-07-19,11,20,50,EMA,14,1.0,3.0,5,0.9,102207.44925392455,0.012579039414308824,0.05127353772815635,0.0536459290098762,0.5829619936752124,-0.020462268288549357,2,0.006945680544621358,0.5,42.18608359269529,654.6391060424805
QQQ,2023-07-20,2024-07-19,2024-07-22,2024-10-17,1,20,50,SMA,14,1.0,2.0,5,0.9,102207.44925392455,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2023-10-18,2024-10-17,2024-10-18,2025-01-21,9,20,50,EMA,14,1.0,2.0,5,0.9,101133.13221248474,-0.01051114228250416,-0.041386297507667535,0.056841902593585535,-1.0799479733564519,-0.027593711070776128,1,-0.011557400004398154,0.0,0.0,-1055.0593136932373
QQQ,2024-01-19,2025-01-21,2025-01-22,2025-04-22,0,20,50,SMA,14,1.0,2.0,5,0.75,101133.13221248474,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2024-04-19,2025-04-22,2025-04-23,2025-07-23,8,20,50,EMA,14,1.0,2.0,5,0.75,102728.52017123718,0.01577512654705937,0.06460939867464899,0.038979054805405436,1.1444453668092218,-0.010216139419218506,4,0.0053979811832824375,1.0,,417.17105684204097
QQQ,2024-07-22,2025-07-23,2025-07-24,2025-10-21,16,55,50,SMA,14,1.0,2.0,5,0.75,102728.52017123718,0.0,0.0,0.0,,0.0,0,,,,
QQQ,2024-10-18,2025-10-21,2025-10-22,2026-01-22,16,55,50,SMA,14,1.0,2.0,5,0.75,102728.52017123718,0.0,0.0,0.0,,0.0,0,,,,
