symbol,train_start,train_end,test_start,test_end,chosen_param_id,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,ending_equity,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,num_trades,avg_return_per_trade,win_rate,profit_factor,expectancy_dollars
SMH,2021-04-19,2022-04-14,2022-04-18,2022-07-18,3,20,50,SMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
SMH,2021-07-19,2022-07-18,2022-07-19,2022-10-14,3,20,50,SMA,14,1.0,3.0,5,0.9,100000.0,0.0,0.0,0.0,,0.0,0,,,,
SMH,2021-10-15,2022-10-14,2022-10-17,2023-01-17,8,20,50,EMA,14,1.0,2.0,5,0.75,98979.81668300781,-0.010201833169921848,-0.04018710456850805,0.014547744204643059,-4.137212183679909,-0.010201833169921848,1,-0.03585808281425271,0.0,0.0,-1013.2518611328125
SMH,2022-01-14,2023-01-17,2023-01-18,2023-04-18,0,20,50,SMA,14,1.0,2.0,5,0.75,97966.8052624104,-0.010234525123861138,-0.04031390457874828,0.014063350814137109,-4.288729291892374,-0.010234525123861138,1,-0.02800028174086535,0.0,0.0,-1004.4667304301677
SMH,2022-04-18,2023-04-18,2023-04-19,2023-07-19,3,20,50,SMA,14,1.0,3.0,5,0.9,97896.34362666821,-0.0007192399053276288,-0.0028738572730629963,0.02567571299613045,-0.8908752515075349,-0.005966907800713406,1,-0.0011560565151153262,0.0,0.0,-58.705475585937506
SMH,2022-07-19,2023-07-19,2023-07-20,2023-10-17,7,20,50,SMA,14,1.5,3.0,5,0.9,96897.52588321258,-0.01020280948657959,-0.04019089152210342,0.021341495691005928,-2.820368937284467,-0.01020280948657959,1,-0.03173335345666559,0.0,0.0,-991.5435235306901
SMH,2022-10-17,2023-10-17,2023-10-18,2024-01-18,19,55,50,SMA,14,1.0,3.0,5,0.9,96897.52588321258,0.0,0.0,0.0,,0.0,0,,,,
SMH,2023-01-18,2024-01-18,2024-01-19,2024-04-18,2,20,50,SMA,14,1.0,3.0,5,0.75,96897.52588321258,0.0,0.0,0.0,,0.0,0,,,,
SMH,2023-04-19,2024-04-18,2024-04-19,2024-07-19,14,20,50,EMA,14,1.5,3.0,5,0.75,96913.97277426941,0.0001697348916487318,0.00067911244575658,0.035600289006108454,-0.5427171546536674,-0.018104054266515734,3,0.00039653808007788827,0.6666666666666666,1.0365494258415313,11.983643773905973
SMH,2023-07-20,2024-07-19,2024-07-22,2024-10-17,20,55,50,SMA,14,1.5,2.0,5,0.75,96913.97277426941,0.0,0.0,0.0,,0.0,0,,,,
SMH,2023-10-18,2024-10-17,2024-10-18,2025-01-21,20,55,50,SMA,14,1.5,2.0,5,0.75,96913.97277426941,0.0,0.0,0.0,,0.0,0,,,,
SMH,2024-01-19,2025-01-21,2025-01-22,2025-04-22,16,55,50,SMA,14,1.0,2.0,5,0.75,96913.97277426941,0.0,0.0,0.0,,0.0,0,,,,
SMH,2024-04-19,2025-04-22,2025-04-23,2025-07-23,8,20,50,EMA,14,1.0,2.0,5,0.75,98437.81362324487,0.015723644437988016,0.06439358645736903,0.04210585457876013,1.0543328689441427,-0.01076727259853305,4,0.009955396594411723,0.75,2.540134381439559,391.83747936499503
SMH,2024-07-22,2025-07-23,2025-07-24,2025-10-21,2,20,50,SMA,14,1.0,3.0,5,0.75,97426.97333212069,-0.010268821034496112,-0.04044691224064445,0.02053764206899223,-2.9432255191508725,-0.010268821034496112,1,-0.02019279229373303,0.0,0.0,-999.9363968797979
SMH,2024-10-18,2025-10-21,2025-10-22,2026-01-22,3,20,50,SMA,14,1.0,3.0,5,0.9,97411.61466260688,-0.00015764288870445675,-0.0006304224628055355,0.03758095455515675,-0.5489595117262579,-0.010925115693836807,2,8.565154380973071e-05,0.5,1.0056465814671607,2.816055239433638
