symbol,train_start,train_end,test_start,test_end,param_id,score,breakout_lookback,trend_window,trend_method,atr_window,stop_atr,target_atr,max_hold_days,min_volume_ratio,train_ending_equity,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,train_num_trades,train_avg_return_per_trade,train_win_rate,train_profit_factor,train_expectancy_dollars
XLF,2021-04-19,2022-04-14,2022-04-18,2022-07-18,1,0.05265807256455064,20,50,SMA,14,1.0,2.0,5,0.9,102045.7717355255,0.020457717355254923,0.020457717355254923,0.01843834624029863,0.024824208705580164,-0.009579979274627948,2,0.01748775291538626,1.0,,1042.2249495800017
XLF,2021-07-19,2022-07-18,2022-07-19,2022-10-14,0,0.3599100193089565,20,50,SMA,14,1.0,2.0,5,0.75,102612.74353747864,0.026127435374786456,0.026127435374786456,0.018620180931216337,0.32907496427781435,-0.008914650625004295,2,0.023037221477308197,1.0,,1325.3101505760194
XLF,2021-10-15,2022-10-14,2022-10-17,2023-01-17,0,-0.4404328547186546,20,50,SMA,14,1.0,2.0,5,0.75,101113.67579920348,0.01113675799203473,0.01113675799203473,0.019114850563269836,-0.46368356261159815,-0.009270684412295394,2,0.009877377213900482,1.0,,574.9916173545837
XLF,2022-01-14,2023-01-17,2023-01-18,2023-04-18,8,-1.542320500871214,20,50,EMA,14,1.0,2.0,5,0.75,98708.32469486816,-0.012916753051318342,-0.012916753051318342,0.020842012494824043,-1.5793461912323954,-0.026063732452638044,5,-0.002028056520217224,0.4,0.5034549989683516,-240.03317269446225
XLF,2022-04-18,2023-04-18,2023-04-19,2023-07-19,8,-1.3294346301989437,20,50,EMA,14,1.0,2.0,5,0.75,98711.1875300776,-0.012888124699223957,-0.012888124699223957,0.023933655453703243,-1.3741371334956356,-0.03541373741478493,6,-0.0014295596661784947,0.5,0.6235132017476456,-196.12126466772952
XLF,2022-07-19,2023-07-19,2023-07-20,2023-10-17,12,-1.3644099212698093,20,50,EMA,14,1.5,2.0,5,0.75,99056.80433745163,-0.009431956625483684,-0.009431956625483684,0.02040856358281146,-1.442137586315576,-0.030225426565966718,9,-0.0014231978071143278,0.5555555555555556,0.7484031211559651,-89.74169472973566
XLF,2022-10-17,2023-10-17,2023-10-18,2024-01-18,5,-1.0851883776852613,20,50,SMA,14,1.5,2.0,5,0.9,99943.0974885751,-0.0005690251142489444,-0.0005690251142489444,0.018027245225184885,-1.1409965780857674,-0.015629148169478135,6,-0.00010368912290552197,0.6666666666666666,1.021353918934112,7.3384571270209635
XLF,2023-01-18,2024-01-18,2024-01-19,2024-04-18,5,0.04994179492732525,20,50,SMA,14,1.5,2.0,5,0.9,101944.24973979616,0.019442497397961667,0.019442497397961667,0.0210709185924043,-0.026458390961621565,-0.013284251240136102,7,0.003996146246202877,0.7142857142857143,1.9892770562553088,299.1682255252962
XLF,2023-04-19,2024-04-18,2024-04-19,2024-07-19,17,1.542818231274637,55,50,SMA,14,1.0,2.0,5,0.9,106206.18631783598,0.06206186317835982,0.06206186317835982,0.028916376993359444,1.4546034998789508,-0.01126480077397507,6,0.010634021670949902,0.8333333333333334,6.72081568717169,1068.601990189995
XLF,2023-07-20,2024-07-19,2024-07-22,2024-10-17,17,1.4302192172468016,55,50,SMA,14,1.0,2.0,5,0.9,106104.7074204375,0.06104707420437494,0.06104707420437494,0.03080429232398813,1.33251151406619,-0.01126333568630411,7,0.009198179666012635,0.7142857142857143,3.8342234158987294,906.9744293514617
XLF,2023-10-18,2024-10-17,2024-10-18,2025-01-21,17,1.480060587084081,55,50,SMA,14,1.0,2.0,5,0.9,105352.86078544585,0.053528607854458565,0.053528607854458565,0.023845655766049884,1.4060677627576392,-0.011085918403150652,5,0.012886482091199192,0.8,6.004683491255375,1100.7941331380578
XLF,2024-01-19,2025-01-21,2025-01-22,2025-04-22,6,1.289493074685272,20,50,SMA,14,1.5,3.0,5,0.75,104894.85080598593,0.048948508059859286,0.048948508059859286,0.0239733843132006,1.2075269674761442,-0.010032587283207217,6,0.01458687698345129,0.8333333333333334,10.269223933754555,834.274778207633
XLF,2024-04-19,2025-04-22,2025-04-23,2025-07-23,2,1.105443846330444,20,50,SMA,14,1.0,3.0,5,0.75,105050.00660787511,0.05050006607875113,0.05050006607875113,0.030074560404209246,1.0141483589060982,-0.015818182460119345,7,0.00868834591703581,0.7142857142857143,3.3623997529498135,746.4311547632561
XLF,2024-07-22,2025-07-23,2025-07-24,2025-10-21,0,-0.03700624493165772,20,50,SMA,14,1.0,2.0,5,0.75,101603.086198905,0.016030861989050127,0.016030861989050127,0.03107696639096709,-0.12771960946946073,-0.02920826582688818,9,0.0025918525926737265,0.5555555555555556,1.4227649257212929,201.62374370505387
XLF,2024-10-18,2025-10-21,2025-10-22,2026-01-22,0,-0.48436630882770454,20,50,SMA,14,1.0,2.0,5,0.75,100332.43482948733,0.0033243482948732694,0.0033243482948732694,0.029845735376389612,-0.5587281229571752,-0.029201440071863982,8,0.0015040198191839332,0.5,1.1248864783227863,66.75472341104914
